RowIdx,CellName,Animal,Session,IsSpatial,IsSignif,IsOmit,LLHrel,LLHrel_omit,LLHrel_L1L2,LLHrel_BG,LLHrel_Spd,pval_omit
58,M26004_20260318_cell#58,1,1,1,1,0,1.53687669479821,0.976753785311506,NaN,NaN,NaN,1
59,M26004_20260318_cell#59,1,1,1,1,0,1.1645112645703,0.981808803009287,NaN,NaN,NaN,1
60,M26004_20260318_cell#60,1,1,1,1,0,1.60004800785483,0.931305279148953,NaN,NaN,NaN,1
61,M26004_20260318_cell#61,1,1,1,1,0,1.20700967441317,0.932109997579989,NaN,NaN,NaN,1
62,M26004_20260318_cell#62,1,1,0,0,0,1.00297274550467,0.99912277944897,NaN,NaN,NaN,1
63,M26004_20260318_cell#63,1,1,1,1,0,1.185962916937,0.900383798793806,NaN,NaN,NaN,1
64,M26004_20260318_cell#64,1,1,1,1,0,1.27654767570254,0.964394572360381,NaN,NaN,NaN,1
65,M26004_20260318_cell#65,1,1,1,1,0,1.6556999592584,0.995502593475258,NaN,NaN,NaN,1
66,M26004_20260318_cell#66,1,1,0,0,0,0.979058673641145,0.991743269301784,NaN,NaN,NaN,1
67,M26004_20260318_cell#67,1,1,1,1,0,1.01809865181484,1.00130244672105,NaN,NaN,NaN,0.413239075441854
68,M26004_20260318_cell#68,1,1,1,1,0,1.12086127327309,0.955131702077589,NaN,NaN,NaN,1
69,M26004_20260318_cell#69,1,1,1,1,0,1.05455891285525,0.994985628328389,NaN,NaN,NaN,1
70,M26004_20260318_cell#70,1,1,1,1,0,1.3318762851698,0.995359521166781,NaN,NaN,NaN,1
72,M26004_20260318_cell#72,1,1,1,1,1,1.20828581640301,1.01524846699423,NaN,NaN,NaN,2.44360087719997e-13
73,M26004_20260318_cell#73,1,1,0,0,0,0.92474699778328,0.968136052334894,NaN,NaN,NaN,1
74,M26004_20260318_cell#74,1,1,1,1,0,1.28668262406806,0.951650044852852,NaN,NaN,NaN,1
75,M26004_20260318_cell#75,1,1,0,0,0,0.908590759617214,0.930037019374873,NaN,NaN,NaN,1
76,M26004_20260318_cell#76,1,1,1,1,0,1.16895342924348,0.969363981228318,NaN,NaN,NaN,1
77,M26004_20260318_cell#77,1,1,1,1,0,1.05981782615105,0.966761350801732,NaN,NaN,NaN,1
78,M26004_20260318_cell#78,1,1,1,1,0,1.11811201903968,0.985618956924232,NaN,NaN,NaN,1
79,M26004_20260318_cell#79,1,1,1,1,0,1.36624491218008,0.958144121819696,NaN,NaN,NaN,1
80,M26004_20260318_cell#80,1,1,0,0,0,1.00132535472548,0.986667004917809,NaN,NaN,NaN,1
81,M26004_20260318_cell#81,1,1,1,1,0,1.45644819664593,0.985150030072843,NaN,NaN,NaN,1
82,M26004_20260318_cell#82,1,1,0,0,0,0.946744463690551,0.978900184659846,NaN,NaN,NaN,1
83,M26004_20260318_cell#83,1,1,0,0,0,1.05088559826196,0.863465881044892,NaN,NaN,NaN,1
86,M26004_20260318_cell#86,1,1,1,1,0,1.31157544137469,0.898888861790701,NaN,NaN,NaN,1
87,M26004_20260318_cell#87,1,1,1,1,0,1.21117742539288,0.935554728794879,NaN,NaN,NaN,1
88,M26004_20260318_cell#88,1,1,1,1,0,1.22322939685548,0.945981688433334,NaN,NaN,NaN,1
90,M26004_20260318_cell#90,1,1,0,0,0,1.01263446759466,0.955982295197928,NaN,NaN,NaN,1
91,M26004_20260318_cell#91,1,1,1,1,0,1.1236725750564,0.951883137869054,NaN,NaN,NaN,1
92,M26004_20260318_cell#92,1,1,0,0,0,1.01463735128406,0.884239726238564,NaN,NaN,NaN,1
94,M26004_20260318_cell#94,1,1,0,0,1,0.979910149121827,1.16856453851111,NaN,NaN,NaN,0
95,M26004_20260318_cell#95,1,1,0,0,0,1.00594315513628,0.951085878932905,NaN,NaN,NaN,1
96,M26004_20260318_cell#96,1,1,1,1,0,1.20054987055522,0.92046787455034,NaN,NaN,NaN,1
97,M26004_20260318_cell#97,1,1,1,1,0,1.43576257213455,0.989908242501191,NaN,NaN,NaN,1
98,M26004_20260318_cell#98,1,1,0,0,0,0.94871791667696,0.981344499999793,NaN,NaN,NaN,1
99,M26004_20260318_cell#99,1,1,1,1,0,1.17758275494532,0.935519285589416,NaN,NaN,NaN,1
100,M26004_20260318_cell#100,1,1,1,1,0,1.16999971216089,0.993562244350125,NaN,NaN,NaN,1
101,M26004_20260318_cell#101,1,1,0,0,0,1.01747553600303,0.925341231418608,NaN,NaN,NaN,1
102,M26004_20260318_cell#102,1,1,1,1,0,1.33309174957569,0.976410647281445,NaN,NaN,NaN,1
103,M26004_20260318_cell#103,1,1,0,0,0,1.00264782474771,0.974646427683378,NaN,NaN,NaN,1
104,M26004_20260318_cell#104,1,1,1,1,0,2.63658514184154,1.0150123694661,NaN,NaN,NaN,0.100896408343467
105,M26004_20260318_cell#105,1,1,0,0,0,0.998774835385648,0.954269299711042,NaN,NaN,NaN,1
106,M26004_20260318_cell#106,1,1,1,1,0,1.10164926438182,0.900918775136474,NaN,NaN,NaN,1
107,M26004_20260318_cell#107,1,1,1,1,1,1.0672663721765,1.01517747918729,NaN,NaN,NaN,0.000510676652955455
109,M26004_20260318_cell#109,1,1,1,1,0,1.16767790993433,1.00441312793079,NaN,NaN,NaN,0.999540189721276
110,M26004_20260318_cell#110,1,1,1,1,0,1.09579025229477,1.00470285291358,NaN,NaN,NaN,3.97495258930292e-10
111,M26004_20260318_cell#111,1,1,1,1,0,1.09682132253842,0.984477083865407,NaN,NaN,NaN,1
112,M26004_20260318_cell#112,1,1,1,1,0,1.19793344908031,0.969182588456416,NaN,NaN,NaN,1
113,M26004_20260318_cell#113,1,1,0,0,0,0.951049214774759,0.956287717851224,NaN,NaN,NaN,1
114,M26004_20260318_cell#114,1,1,1,1,0,1.21372390106185,0.99992159088314,NaN,NaN,NaN,1
115,M26004_20260318_cell#115,1,1,1,1,0,1.01544731181366,0.992557034632471,NaN,NaN,NaN,1
116,M26004_20260318_cell#116,1,1,1,1,0,1.36352546560821,1.00134986752149,NaN,NaN,NaN,0.999999707853657
117,M26004_20260318_cell#117,1,1,0,0,0,1.02416163460685,0.957791219021107,NaN,NaN,NaN,1
118,M26004_20260318_cell#118,1,1,1,1,0,1.14700229668102,0.972214888473935,NaN,NaN,NaN,1
119,M26004_20260318_cell#119,1,1,1,1,0,1.1460619132305,1.00142742811491,NaN,NaN,NaN,0.999999999908969
120,M26004_20260318_cell#120,1,1,1,1,0,1.29300656637591,0.977204566930768,NaN,NaN,NaN,1
121,M26004_20260318_cell#121,1,1,0,0,0,0.982772838927433,0.93930214809581,NaN,NaN,NaN,1
122,M26004_20260318_cell#122,1,1,1,1,0,1.15850314224025,1.000510589606,NaN,NaN,NaN,1
123,M26004_20260318_cell#123,1,1,1,1,0,1.21171696120166,0.939605573648329,NaN,NaN,NaN,1
124,M26004_20260318_cell#124,1,1,1,1,0,1.24713658551982,0.982132539533893,NaN,NaN,NaN,1
125,M26004_20260318_cell#125,1,1,0,0,0,0.89247004277393,0.275451430014539,NaN,NaN,NaN,1
126,M26004_20260318_cell#126,1,1,0,0,1,0.993930592078284,1.04098167664167,NaN,NaN,NaN,0
127,M26004_20260318_cell#127,1,1,1,1,0,1.09841603118481,0.89290560542171,NaN,NaN,NaN,1
128,M26004_20260318_cell#128,1,1,1,1,0,1.27941451868073,0.957726821184569,NaN,NaN,NaN,1
129,M26004_20260318_cell#129,1,1,1,1,0,1.17317204830078,0.941624980776568,NaN,NaN,NaN,1
130,M26004_20260318_cell#130,1,1,1,1,0,1.10538227195594,0.974593731546842,NaN,NaN,NaN,1
131,M26004_20260318_cell#131,1,1,1,1,0,1.29798723412616,0.975317040464721,NaN,NaN,NaN,1
132,M26004_20260318_cell#132,1,1,1,1,0,1.33154191787803,0.995657433030178,NaN,NaN,NaN,1
133,M26004_20260318_cell#133,1,1,0,0,0,0.99739830828935,1.01617560786266,NaN,NaN,NaN,0.91507626312744
134,M26004_20260318_cell#134,1,1,0,0,0,1.02613622129538,0.944057583180206,NaN,NaN,NaN,1
135,M26004_20260318_cell#135,1,1,1,1,0,1.21236722604555,0.812371309431895,NaN,NaN,NaN,1
136,M26004_20260318_cell#136,1,1,0,0,0,0.998751336947529,0.411258704008751,NaN,NaN,NaN,1
137,M26004_20260318_cell#137,1,1,1,1,0,1.22664866976509,0.887058307593736,NaN,NaN,NaN,1
138,M26004_20260318_cell#138,1,1,1,1,0,1.52399826993846,0.982502333636358,NaN,NaN,NaN,1
139,M26004_20260318_cell#139,1,1,1,1,0,1.09270834696934,0.997395683459209,NaN,NaN,NaN,1
140,M26004_20260318_cell#140,1,1,1,1,0,1.16501840177844,0.994978061801974,NaN,NaN,NaN,1
141,M26004_20260318_cell#141,1,1,1,1,0,1.21052048614316,1.02049557407266,NaN,NaN,NaN,0.316980605044451
142,M26004_20260318_cell#142,1,1,1,1,0,1.42330964494117,0.994294214129249,NaN,NaN,NaN,1
143,M26004_20260318_cell#143,1,1,1,1,0,1.40871332455033,0.95593359192686,NaN,NaN,NaN,1
144,M26004_20260318_cell#144,1,1,1,1,0,1.1136275555279,0.99543548939354,NaN,NaN,NaN,1
145,M26004_20260318_cell#145,1,1,0,0,0,1.00856522340403,0.855690848168913,NaN,NaN,NaN,1
146,M26004_20260318_cell#146,1,1,0,0,0,0.976275641195213,0.948708744492507,NaN,NaN,NaN,1
147,M26004_20260318_cell#147,1,1,1,1,0,1.28626107640681,0.960430459998798,NaN,NaN,NaN,1
148,M26004_20260318_cell#148,1,1,0,0,0,0.96695810674208,0.978198852522014,NaN,NaN,NaN,1
149,M26004_20260318_cell#149,1,1,0,0,0,0.99478362125035,1.02685295292467,NaN,NaN,NaN,0.917600588750317
150,M26004_20260318_cell#150,1,1,1,1,0,1.22170385902454,1.00872875772406,NaN,NaN,NaN,1.98904337445072e-10
152,M26004_20260318_cell#152,1,1,1,1,0,1.04535635067022,0.995221529231979,NaN,NaN,NaN,1
153,M26004_20260318_cell#153,1,1,0,0,0,1.02577924519522,0.901327599376569,NaN,NaN,NaN,1
154,M26004_20260318_cell#154,1,1,1,1,0,1.11646774761856,0.99013694524064,NaN,NaN,NaN,1
156,M26004_20260318_cell#156,1,1,1,1,0,1.17131876911714,0.967942754391242,NaN,NaN,NaN,1
157,M26004_20260318_cell#157,1,1,1,1,0,1.1409647416294,0.97632471206325,NaN,NaN,NaN,1
158,M26004_20260318_cell#158,1,1,1,1,0,1.195329855797,0.971620888129831,NaN,NaN,NaN,1
159,M26004_20260318_cell#159,1,1,0,0,0,1.04146372354559,0.966650633609124,NaN,NaN,NaN,1
160,M26004_20260318_cell#160,1,1,1,1,0,1.06812703248781,0.998665425641777,NaN,NaN,NaN,1
162,M26004_20260318_cell#162,1,1,1,1,0,1.08444946350595,0.974444600731898,NaN,NaN,NaN,1
163,M26004_20260318_cell#163,1,1,1,1,0,1.33229893849548,0.934853584910661,NaN,NaN,NaN,1
164,M26004_20260318_cell#164,1,1,1,1,0,1.48660213029807,1.01441026940126,NaN,NaN,NaN,0.0139359623931992
165,M26004_20260318_cell#165,1,1,1,1,0,1.20813841936079,0.957746119196672,NaN,NaN,NaN,1
166,M26004_20260318_cell#166,1,1,1,1,0,1.81084136493116,0.958894660265145,NaN,NaN,NaN,1
167,M26004_20260318_cell#167,1,1,1,1,0,1.11977674532532,1.0040217310727,NaN,NaN,NaN,0.999997247237106
168,M26004_20260318_cell#168,1,1,1,1,0,1.04794546766462,0.980141073615691,NaN,NaN,NaN,1
169,M26004_20260318_cell#169,1,1,1,1,0,1.2618976119612,0.95986862764034,NaN,NaN,NaN,1
170,M26004_20260318_cell#170,1,1,1,1,0,1.50310404388823,0.960557317373045,NaN,NaN,NaN,1
171,M26004_20260318_cell#171,1,1,1,1,1,1.76491574623371,1.02299868838059,NaN,NaN,NaN,0.0156579532520876
172,M26004_20260318_cell#172,1,1,1,1,0,1.26027268683288,0.983506161626401,NaN,NaN,NaN,1
173,M26004_20260318_cell#173,1,1,1,1,1,1.09586587515257,1.14789441238623,NaN,NaN,NaN,0
174,M26004_20260318_cell#174,1,1,1,1,0,1.10423454192061,0.970813770854886,NaN,NaN,NaN,1
176,M26004_20260318_cell#176,1,1,1,1,0,1.04259525114552,0.962645507955611,NaN,NaN,NaN,1
